,question1,question2,is_duplicate
152,다시 만나서 이야기,다시 만나서 이야기,0
153,다시 만나서 이야기해 보고 싶은데 달라지지 않겠지,다시 만나서 이야기하면 달라질까,0
154,다시 만나자면 만나줄까,다시 만나자면 만나줄까,0
155,다시 만날 수 있을까?,다시 만날 수 있을까?,0
156,다시 보기는 봤는데 결국은.,다시 보기는 봤는데 결국은.,0
157,다시 사랑에 빠지는 법,그 사람에게 예전만큼 사랑을 못느끼겠어요,0
158,다음에 놀러가고 싶어요,가족여행으로 갔는데 증말 천국이였어,1
159,다이어트 효과 있는 것 같아,살 좀 빠지는 것 같아,0
160,답답하네요,진짜 속상해..,0
161,답을 안하는 이유가 뭘까?,답이 안와,0
162,대기업 인턴하고 싶다.,인턴하고 대기업 입사면 좋겠다.,1
163,대학 안가고 기술 배울까봐,대학을 꼭 가야할까,0
164,더운 여름에는 냉면만한게 없는 듯,뭐니뭐니 핻고 여름에는 냉면이지,0
165,더워서 시원한 냉면 먹고 싶어,여름이니까 냉면 땡긴다,0
166,더워서 죽을 것 같아.,더워 미치겠다,0
167,덕분에 스트레스 덜 받는 듯,긍정적으로 생각하자.,1
168,데이트 했는데 야경이 참 좋았다,남친이랑 남산 야경 구경했어,1
169,데이트코스 추천,데이트코스 어디가 좋을까,0
170,도대체 어디서부터 잘못된걸까,주위에 아무도 없는 느낌,0
171,돈 빌려줬는데 연락 안 받아.,돈 빌려줬는데 전화 꺼져 있네.,0
172,동생이 먼저 결혼한데,동생 먼저 결혼시켜야 하나,0
173,동심의 세계로 들어갔다 온 거 같아,나도 동심의 세계로 빠져들다,0
174,두 사람 잘됐으면 좋겠다.,연결 해줬는데 잘됐으면 좋겠다.,0
175,드디어 전세방 구했어,오늘 전세 계약했어. ,0
176,따듯하고 아름다운 여자이고 싶었는데,좋은게 좋은거겠지,1
177,땀이 너무 많이 나는 날씨,더워서 땀나,0
178,떡볶이 너무 많이 많들었다.,떡볶이 만들었는데 많아,0
179,떡볶이 만들어 먹었어,예쁘게 표현을 못하겠어,1
180,또 스팸 전화다.,요즘 부쩍 스팸 전화 많이 와,0
181,또 찾아갔네요,모든게 니멋대로,1
182,뜨거운 커피가 좋아,커피 맛있어.,1
183,라면 먹고 잤더니 부었어,라면이랑 김밥 먹고 싶다.,1
184,로또 당첨 번호 알아?,로또 번호 알려줘,0
185,마냥 신났던 시간,정말 잘 노는 우리 커플,0
186,마스크 쓰고 번호 따는 건 뭐냐,아침 조깅 중,1
187,마음 열기가 어려워,마음을 모르겠어,1
188,마음을 못열겠어요 ,면접을 봤는데 마음에 드는 사람이 없었나봐,1
189,마음을 세게 먹는 방법 있나?,헤어지자는 남자친구 잡는 법,1
190,마음을 정리해야 할 것 같아.,맴찢이지만 정리해야지,0
191,마음을 표현하고 싶은데 어떻게 해야 할까요,내 마음 어떻게 말해,0
192,마음이 너무 아파,마음의 정리를 했습니다,1
193,마음이 너무 아픕니다.,친구 사이로 지내자고 하네,1
194,마음이 아픈 것도 몸 아픈 거랑 똑같구나,맘 아프고 힘들어,0
195,마지막 짐 갖다주러 가는 길,붙잡아보려 합니다. 후회하지 않게,1
196,마지막으로 이별하려고 만나고 왔습니다.,마지막이겠죠,1
197,마지막인데 미친척하고 물어볼까,마지막 만남,1
198,막 말하는 거 좀 고치지 짜증나.,막말하고 자기는 까먹어.,0
199,막막하네.,몇일 동안의 나의 이야기.,1
200,막말 너무 막해,나한테 막말 좀 안 했으면 좋겠다,0
201,막말 들으니까 좀 힘빠지더군,오늘 더워서 힘이 안나,1
202,만나는게 힘들어지네,만나고 헤어지고 다시 만났어,1
203,만든 사람 이름 알아?,너 만든 사람 누구야?,0
204,맘 편한 데가 없어,마음 둘 곳이 없어,0
205,맛있는 밥 먹고 싶다.,맛있는 거 먹으로 가고 싶다.,0
206,맛있을 줄 알았는데.,뭔가 맛이 이상해,1
207,맛집에서 식사,중국가는데 기대된다.,1
208,망했으면 망했으면,이제 그만 망했으면,0
209,맞춤법 자꾸 틀려서 싫어.,맞춤법 많이 틀리는 사람,0
210,매달려보셨어??,모든 것이 의미 없는 것이 되네,1
211,머리 스타일 추천,머리 어떻게 깎을까?,0
212,머리 자라서 뿌리 염색 다시 해야 되겠다,너무 머리가 빨리 자라. 다시 뿌염해야지,0
213,먹방 봤는데 나도 먹고 시프당,먹어도 살 안찌면 좋을텐데,1
214,명절 선물 뭐가 좋을지 알려줘,명절 선물 뭐하지,0
215,몇가지 놀이기구도 탔다,시장가서 해먹고 놀거 샀어,1
216,모두 자기만의 고민이 있겠지,많이 못 봐서 아쉬워,1
217,묘하게 자꾸 끌려,이상하게 자꾸 좋아져,0
218,무서운 얘기 해줘,나 무서운 영화 보고 왔다,1
219,무섭게 빨라,자꾸 봐주니까 기어오른다,1
220,무섭다,뭔가 무섭다.,0
221,무슨 생각일까,뭔 의미로 말할걸까?,1
222,무슨 생각하고 있을지 궁금해,그 사람은 지금 무슨 생각일까?,0
223,무시 당했어,이상한 사람 너무 많은 것 같아,1
224,뭐 이렇게 끝나냐,마지막 문자 보냄,1
225,뭔 소리야?,너 말 제대로 못해?,0
226,뭔가 무력해,무력하고 피곤해.,0
227,뭘 해야 할지 모르겠어,오늘 선생님께 칭찬받음,0
228,미친 사람들이 왜 이렇게 많아,사이코가 너무 많아,0
229,미친게 분명하다 ,누가 하라고 한거야,1
230,밀당도 아니고 뭔지 맘만 상한다.,밀당하냐고 하는데 속상해,0
231,바다 가자,바다 가자고 물어볼까?,1
232,바다에서 놀고 싶다.,오늘은 파도가 잔잔하네,1
233,바빠서 연애도 못했다고 첫사랑이라고 하는데,공부하느라고 내가 처음 연애래,0
234,방에 먼지가 한가득이야. 언제 치워.,집에 먼지가 쌓였네,0
235,방이 정리 해야 되는데 너무 어질러 놨었네.,방정리가 안돼,0
236,방학 먹거리 고민,방학인데 또 뭐해 먹이냐,0
237,방학에 뭐할까,이번 방학에는 뭐하지,0
238,배 아파서 누워있어,회사가기 싫어,1
239,배 터지게 먹었어,너무 많이 먹었나봐. 완전 배불러,0
240,배고픈데 집에 라면도 없어. ,라면 먹고 싶다.,1
241,벌써 12시야,벌써 12시시 됐어,0
242,벌써 그 사람이랑 3년 사겼어,3년째 연애하고 있어. 좋아,0
243,벌써 그리워지네,화가나 미치겠다,1
244,베트남 사업하기 좋을 것 같니?,베트남에서 사업해볼까?,0
245,베프랑 대판함,친한 친구랑 의견 차이때문에 타퉜어.,0
246,변하지 않는 사람도 있겠지?,더 깊어지고 편해졌어,1
247,별사람이 다 있는 듯,별 사람이 다 있다고 생각하고 넘겨야 할 것 같아.,0
248,보고 있으면 아직도 설레,아직 보고 싶고 설레고 그렇다,0
249,보고싶다고 말하니까 더 보고싶다.,새로운 사랑을 원하는것도 아닌데.,1
250,보드게임 처음해 보는데 재미있아.,보드게임 재밌다,0
251,보면 설레는게 첫사랑인 거 같아,손발이 굳는 거 같은게 첫사랑인 거 같아,0
252,보통 좋아하는 애 생기면 어떻게 친해져,좋아하는 애 생겼는데 친해지는 방법,0
253,복전하니까 힘들다,복전 이렇게 힘들 줄이야,0
254,본인을 좋아하는게 확실한 여자와 친구가 될 수 있어?,미안한데 사랑은 아닌 것 같아 친구로 좋은건데.,0
255,봄되니까 동물원 가고 싶다.,선풍기 더운 바람 나와,1
256,봄되니까 집에 먼지가 너무 많아,청소를 안 했더니 먼지 쌓였어,0
257,봄이 왔어,드디어 봄이다,0
258,뵘 되니까 살 것 같다.,봄 되니까 따듯해서 좋다.,0
259,부모님이 갑자기 같이 살자 셔,혼자 살다가 갑자기 부모님 모실 수 있을까?,0
260,부자되게 해주세요,돈 많이 벌고 싶어요,0
261,부장님 눈치 보여,짤릴 것 같아,1
262,북극이야 왜케 추워,너무 추워,0
263,불꽃축제 보러 갈까?,놀이 공원 가자고 할까,1
264,비가 온댄다,비라도 좀 왔으면,1
265,비가 와서 걱정했는데 금방 그쳤어,비 오기 전에 집에 와서 다행,1
266,비결이 뭘까,머리 스타일 바꿔 볼까,1
267,비웃는 니 웃음소리 기억나,너의 비웃는 소리가 기억에 맴돌아,0
268,비정규직 차별 받는 느낌들어.,비정규직이라고 지금 차별하는건가.,0
269,비참한데 연락하고 싶아.,한달이 넘었지만 아직도 못 잊겠어,1
270,빠삭한 후라이드 치킨 먹고 싶다.,치맥이 정답,1
271,사귀자고 하고 연락 없어,보고 싶은데 문자 못하겠어,1
272,사귄지 5년 됐는데 아직도 좋아,5년 동안 사귔는데 사랑해,0
273,사람들이 나를 너무 힘들게 한다.,사람들 때문에 힘들어,1
274,사랑 감정이라는 게 혐오스럽습니다,날 진심으로 사랑하는걸까,0
275,사랑 받고 싶었은데,이 결혼 해도 될까,1
276,사랑없는 결혼생활,나 자신을 사랑하는 방법 궁금해,1
277,사랑을 너무 많이 받고 있어 매우 행복하다.,세일하는데 살까,1
278,사랑이 식었어요,사랑의 정의,1
279,사랑이 이런건가,그 사람 사랑했는데,1
280,사랑이라는 감정이 참 묘한거 같아,일하러 나왔는데 손에 안 잡히네,1
281,사랑하는 사람 만나서 행복해,결혼 약속할 만한 사람 만나서 다행이다,1
282,사랑하는 사람이 생겼어,그 사람이 너무 좋아,0
283,사랑하는 사람이 없어.,운명적인 사랑이 있을까,1
284,사랑한다고 고백해 볼까,"가족끼리 ""사랑해요""라는말 하는거 어색해	",1
285,사직서 쓸까?,직장에서 그만둬야 할까?,0
286,사진 참 못찍는 것 같아,그 사람 사진을 못지우겠어,1
287,살쪄서 거울보는게 싫어졌어,걸지 못한 전화,1
288,살쫌 빼고나서 필라테스 해보고싶어,운동해야 하는데 귀찮아,1
289,살찔거 같은데 지금은 아주 행복하닼,괜히 파르르 하다 내가 넘어감,1
290,삼겹살에는 역시 소주지,삼겹살에 소주 한잔 먹으면 좋겠다.,0
291,상견례 날짜 잡아야되는데,상견례 하자고 하시네,1
292,상사가 너무 괴롭혀,상사 때문에 힘들다,0
293,상황이 복잡하다,주변 상황이 힘들게 하는 것 같아,1
294,샆 좀 빠졌으면,몸무게 좀 줄었으면,0
295,새 프사 사진에 너는 행복해 보이네,카톡차단 당했어,1
296,새 핸드폰 갖고 싶어,새로나온 핸드폰 사고 싶다.,0
297,새벽되니까 감성적으로 되네,술 너무 많이 먹었어.,1
298,새해 치킨복 많이 받으세요,절하고 세뱃돈 받아야지,1
299,생각 외로 늠나 재미났다,아이들은 아이들 다운게 좋은 거 같아,1
300,서로에게 맞추려고하는데 잘 안돼,맞추려고 하는데 잘 안돼,0
301,서류에서 탈락,서류에서 불합격,0
302,서운한거를 다말해? 아니면 어디까지 말해?,서운한거를 다말해도 돼?,0
303,서핑 출발,서핑하러 가야지,0
304,선 결혼 후 연애 해도 될까?,결혼하고 나서 연애 해도 될까?,0
305,선물 뭘로 할까?,뭘로 선물할까?,0
306,선배가 나만 챙겨 주는 것 같은데 좋아하나,선배가 잘 챙겨주는데 그냥 그런 거겠지.,0
307,성격이 너무 달라서 자주 싸워,여자친구가 세상에서 제일 예뻐,1
308,세상일 참 맘대로 안된다.,소개팅에서 좋은 사람 만나기 힘든거네.,1
309,셀프웨딩 어떨까?,셀프웨딩으로 준비 해볼까,0
310,소개팅 성공하는 방법 좀 알려줘,소개팅할 때 상대방 마음에 들게 하려면?,0
311,소개팅 한 사람이랑 내일 만나기로 했어,내일 데이트 있는데 설레,1
312,소개팅 했는데 에프터 신청도 안하고 연락도 안 와,소개팅한 사람한테 연락이 안 와,0
313,소개팅으로 여러번 만났는데 고백하면 너무 빠른가,매일 매일 오빠하면서 연락하고 지내는 사람 있어,1
314,소개팅은 나한테 너무 어색하더라,소개팅 했는데 너무 어색하더라,0
315,소개팅할 때 밥값 어떻게 내,소개팅 상대 맘에 들었으면 좋겠다.,1
316,소소하지만 확실한 행복부터 챙겨야겠다.,작은 행복이 소중한 것 같아,0
317,손 얼것 같음,손 얼겠다,0
318,손톱이나 깎아야지,손톱에 예쁘게 칠해야지,1
319,수박 맛있다.,참외 달아,1
320,수영장 완전 전세냈음,수영하고 맛집가려고,1
321,수영하고 밥 먹고 이렇게 살고 싶다.,그냥 맘 편한게 최고인듯,1
322,술 마시고 싶어.,오늘 술 땡겨,0
323,술 뭔지 알아.,술 알아?,0
324,숨어서 찾기 어려운 맛집 찾아서 먹으러 가는 중,맛집 찾아 다니는 취미 생겼어,0
325,쉬운 것만 하고 싶다.,주위에 잘하는 사람 너무 많아,1
326,쉬운 게 하나도 없는 듯,다 어려워.,0
327,스트레스 다시는 받지 않는 법,그냥 잊어버리려고 해,1
328,스팸 문자 계속 와,스팸 문자 많이 오네,0
329,슬픈데 그래도 좀 무뎌짐,요즘 정말 무뎌지고 있나봐 감정이 점점 없어져,0
330,습관은 못 고칠 것 같아.,한 번 길들인 습관은 고치기 어려워,0
331,습해서 땀이 절로 흐르는 날씨,온도보다 습한게 더 싫어,0
332,시간이 너무 없다.,생각이 안나,1
333,시험 준비하면서 연애 가능,공시 준비하는데 좋아하는 여자 생겼어 어떻게 해,0
334,신뢰도가 떨어져간다.,점점 그 사람 신뢰를 못하겠어,0
335,싸우면 전화 꺼놔서 답답해,싸우면 잠수타서 더 화나,0
336,썸 인지 남사친인지 모르겠어,"썸,남사친 여사친의 기준 있나?",1
337,썸 타는데 정리하고 싶어.,썸 탔는데 아닌 것 같아,0
338,썸과 사귀는것의 차이,연애 중인데 불안하고답답함 왜일까요,1
339,썸남 아직은 좀 부담 돼.,썸남 가끔 부담 돼.,0
340,썸남이 넘 좋아,썸남한테 너무 좋아하는거 티내기 싫은데,0
341,썸남이 다른 사람 감정에 좀 둔한듯,썸남이 곰돌이 같아. 좀 많이 둔한 듯,0
342,썸에서 연애로 가는거 맞나요?,이거 썸인가,1
343,썸인 것 같아,썸 타다가 자연스럽게 사귀는 방법,1
344,썸인가 아닌가,썸이 뭐야?,1
345,썸인데 행동은 완전 커플처럼 해,아지구썸인데 행동은 커플,0
346,썸타는 거 가능?,썸 같은데 헷갈리네,1
347,썸타는 사람이랑 갈만한 식당 추천,썸인데 먹으러 어디 가는게 좋음?,0
348,썸타는 중인데 답 잘 안보내,썸타는 사람이랑 연락이 잘 안돼,0
349,쓸쓸한 밤시간,고독한 밤,0
350,씻고 자야 되는데 졸려.,씻고 자야지되는데 너무 피곤해.,0
351,아 덥다더워!,날씨가 진짜 더워,0
352,아기 선물은 뭐가 좋음?,애기 돌선물은 뭐 사지?,0
353,아기자기하고 예쁜거 많아,60년대 분위기야,1
354,아까 누웠는데 잠이 안 와,불면증인가 잠이 안 와,0
355,아까까지 같이 있었는데.,거울 속에 비친 내 모습,1
356,아까부터 버스가 안와,버스가 너무너무 안와,0
357,아놔 화장하고 예쁘게 하고 다니고 싶다.,나도 화장 잘 하고 싶다,0
358,아는 오빠와 친구가 친하게 지내서 잘 될까봐 걱정이야,교회에 좋아하는 오빠 있어,1
359,아무거나 다 잘하는 사람,니가 내 옆에 있어줘서 고마워,1
360,아무말이나 하다가 헤어졌어.,아무 생각 없다.,1
361,아무말이나 하자,내 얼굴 어때?,1
362,아무한테나 잘하는 사람 싫지,아무나 잘해주는 사람 바람둥이 같아,0
363,아이돌 좋아하는데 남친이 질투해,드라마 보는데 남친이 질투해,1
364,아직 내감정 잘 모르겠는데 유지하는 게 좋을까,내 감정도 헷갈리는데 어떻게 하는게 좋을까,0
365,아직 많이 부족한데 어떻게 해,내가 너무 부족한 느낌이 들어,0
366,아직 보내지 못한 이별편지,마지막이라니 울고 싶다.,1
367,아직 좀 불편한데 잘 사귈 수 있을까?,우리 잘 사귈 수 있을까?,0
368,아침에 눈뜨기 힘들어,니 생각 때문에 힘들어,1
369,안 잊혀져.,마지막으로 한 마디 하고 싶었어,1
370,안녕하세요,잘 지냈어,1
371,알바 면접 보러가.,알바 면접 합격했어.,1
372,알바 해야겠어,알바 자리 구해 봐야겠다.,0
373,압축적으로 잘 놀고 온 거 같아,우리 정말 잘 노는 것 같아,1
374,애를 나혼자 키우는 것 같아,아무 말이나 하면서 시간 때우자,1
375,애완 동물 키우는 사람 성격 좋은가?,애완견 키우면 성격 좋아?,1
376,야채 더 먹어야지,야채 좀 더 먹어야겠다.,0
377,양심적인 사람이 왜 더 고통받을까,우연히 만났는데 전혀 반갑지 않네,1
378,어디서 왔어?,얼마나 노력하면 잘 할 수 있을까?,1
379,어떡하냐 ,어쩌면 좋을까,0
380,어떤 피자 먹지?,피자 시켜 먹을라고,1
381,어떻게 부자가 될 수 있나?,부자 되는 방법,1
382,어떻게 해?,신기하다,1
